2025-10-04 14:57:27,440 - JARVIS - INFO - [MainThread] - __init__:82 - J.A.R.V.I.S. system initialized
2025-10-04 14:57:27,441 - JARVIS - INFO - [MainThread] - _initialize_essential_modules_only:147 - Initializing essential modules for terminal mode...
2025-10-04 14:57:27,444 - JARVIS.SystemMonitor - INFO - [SystemMonitor] - _monitor_loop:108 - System monitoring loop started
2025-10-04 14:57:27,444 - JARVIS.SystemMonitor - INFO - [MainThread] - start_monitoring:94 - System monitoring started
2025-10-04 14:57:27,446 - JARVIS.ApplicationController - INFO - [MainThread] - initialize:59 - Initializing application controller...
2025-10-04 14:57:27,449 - JARVIS.ApplicationController - INFO - [MainThread] - start_monitoring:505 - Application monitoring started
2025-10-04 14:57:31,329 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 87.7, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:11,703 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.1, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:16,904 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 92.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:18,024 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:19,136 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:20,238 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:21,357 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:22,474 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:26,984 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:28,105 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:29,211 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:30,313 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:31,433 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:32,544 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:36,997 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.3, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:38,120 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:39,222 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:40,324 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:41,447 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:42,563 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:47,376 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 93.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:48,492 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 87.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:49,597 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 87.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:50,699 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 87.6, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:51,816 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 87.6, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:52,934 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 88.4, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:56,763 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 88.4, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:57,881 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 88.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 14:59:58,983 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 88.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:00,086 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 88.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:01,204 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 88.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:02,327 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 88.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:03,482 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 88.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:07,231 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 89.1, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:08,348 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:09,917 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.2, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:11,021 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 89.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:12,136 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 89.9, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:13,239 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:14,341 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:19,239 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:20,356 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 89.6, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:21,461 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 89.6, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:22,563 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 89.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:23,682 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 89.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:24,796 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 89.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:28,386 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 89.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:29,504 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:30,607 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:31,710 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:32,826 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.8, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:33,947 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.4, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:35,102 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.4, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:38,668 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 91.0, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:39,785 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:41,699 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.5, 'threshold': 85, 'unit': 'percent'}
2025-10-04 15:00:42,816 - JARVIS.SystemMonitor - WARNING - [SystemMonitor] - _trigger_alert:453 - Alert triggered: high_memory_usage - {'metric': 'memory', 'value': 90.5, 'threshold': 85, 'unit': 'percent'}
